State,01-01-2024,01-02-2024,01-03-2024,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025
ANDHRA PRADESH,53820,56833,69247,58399,60125,54592,57412,48669,45606,88211,84477,41664,48270,56702,49573,58355,51405,51425,50295
ARUNACHAL PRADESH,992,1118,1258,1481,2726,1820,1570,1589,1385,1459,1431,1272,1192,1131,1141,1404,1300,1408,1993
ASSAM,44342,39146,42702,42953,39489,30947,27418,31271,32411,49267,30971,26570,46034,35349,39422,33520,28520,28552,26675
BIHAR,71535,83472,103084,123835,95160,94151,86693,66465,60856,87813,192623,60181,68463,82028,92109,113493,129461,95493,71509
CHANDIGARH,1466,1435,1534,1703,1753,1549,1880,1793,1509,3781,1950,1288,1822,1581,1762,1841,1770,1762,2283
CHHATTISGARH,43136,40286,46271,45431,42778,40606,40580,34214,29194,65414,87570,30096,47270,40970,46972,42483,38836,39212,34719
DELHI,38701,30768,31890,36768,34360,30179,37534,35741,30008,57344,61903,24034,42756,28991,35862,34774,46863,37894,44407
GOA,5102,4770,5068,4778,3793,3227,3099,4261,5563,7242,4786,4098,5228,4263,5208,4048,3248,3507,3427
GUJARAT,91887,88512,94819,97628,92319,84829,102151,94208,83921,210149,147054,86187,97546,84127,96145,96077,94007,100628,99747
HARYANA,42785,38147,41815,37013,35757,40265,34311,47352,45318,57392,85795,47076,48729,37420,41069,42804,44216,43734,42250
HIMACHAL PRADESH,6014,4939,4733,5062,6226,5404,6078,6574,5253,6611,10555,10404,6681,5153,5426,5924,6629,6467,5767
JAMMU AND KASHMIR,4591,5073,6603,8736,7689,7724,11264,10285,6987,12928,7837,3326,4581,5077,6843,8863,8618,8960,11036
JHARKHAND,30662,34484,38134,46918,37888,37767,37150,27861,26273,49234,64425,28726,35516,33524,41677,50414,47136,42205,32909
KARNATAKA,117172,110108,125307,105392,113140,107941,99478,114837,98981,145490,138472,75442,115879,91772,112250,104996,107166,100852,92527
KERALA,43153,39031,43344,37747,41782,38484,40193,45210,60010,46046,40428,34368,46103,37041,44882,40304,45120,42394,43393
LADAKH,37,4,11,12,197,239,133,125,77,26,51,9,29,15,6,10,28,96,94
LAKSHADWEEP,8,14,7,0,18,2,3,7,11,12,7,5,34,89,84,81,67,58,36
MADHYA PRADESH,92972,89372,97170,121751,96688,82175,84790,75208,64718,145534,249092,66895,92174,82199,93717,116752,108169,77912,69666
MAHARASHTRA,173432,148179,152891,173597,160338,135349,140543,137156,138100,259297,268486,164846,190566,138278,176955,202988,165911,151965,159068
MANIPUR,1571,1722,1394,1765,1815,2190,2606,2460,1498,2120,1354,1569,1474,2167,1590,2269,774,2342,2050
MEGHALAYA,1629,1891,2227,1678,2281,1893,2140,2036,2005,2153,1861,1052,1794,1598,1916,1960,1980,1874,2110
MIZORAM,1872,2145,1933,1868,2168,1807,2029,1665,1589,1812,2089,1767,1762,1678,1946,2253,1968,1842,1945
NAGALAND,505,764,591,498,750,400,515,545,479,469,542,346,487,503,474,496,678,529,690
ODISHA,53511,57291,69638,58141,52752,48884,46974,38028,36451,89165,54534,38281,53988,56225,65196,57488,55259,53431,45224
PUDUCHERRY,5139,4554,4335,4125,4543,4171,4892,4302,4183,4250,3745,2690,5921,4192,4380,4564,4556,4625,4948
PUNJAB,33567,34407,35883,34282,35637,28841,36565,38239,29246,44761,59457,53751,39656,38043,40415,35178,38243,34013,40433
RAJASTHAN,79039,81482,89809,83763,87781,78611,88417,93394,62922,134840,246801,55712,74152,67164,79164,86736,82099,70833,73849
SIKKIM,510,408,399,442,643,592,499,513,466,544,493,432,363,489,356,480,549,469,554
TAMIL NADU,153741,145158,126483,122789,120008,122288,139380,128506,123049,119361,135775,80171,161033,127937,121195,126461,113808,132594,140500
TRIPURA,3219,3324,3716,3312,3462,3129,3106,2716,3039,5047,4051,3127,2944,2785,2931,2667,2603,2662,2622
UT OF DNH AND DD,867,1053,777,888,1018,905,967,836,859,1183,1501,1158,1333,965,886,1266,918,824,1038
UTTAR PRADESH,184356,209124,212516,290601,252022,196895,198548,164336,123020,259893,493369,160641,201925,209459,220517,307183,319728,213805,166143
UTTARAKHAND,11674,13684,12517,14132,17388,14338,15358,13912,13070,20278,34248,14707,13573,12493,12506,16565,16728,14650,14948
WEST BENGAL,72376,73994,69969,82990,85922,79211,96283,70568,71130,96591,110276,81618,75391,70851,77207,91921,92514,83838,70455
