 City ,Forecast-  01-03-2025,Forecast-  01-06-2025,Actual - 01-03-2025,Actual - 01-06-2025
 Mumbai ,"29,490.00","29,971.00","29,489.00","29,704.00"
 Pune ,"10,471.00","10,618.00","10,607.00","10,764.00"
 Hyderabad ,"7,462.00","7,550.00","7,471.00","7,437.00"
 Nagpur ,"6,564.00","6,581.00","6,650.00","6,572.00"
 Bengaluru ,"9,334.00","9,416.00","9,493.00","9,426.00"
 Chennai ,"9,328.00","9,457.00","9,346.00","9,443.00"
 Kolkata ,"7,688.00","7,752.00","7,792.00","7,755.00"
 Ahmedabad ,"7,895.00","7,992.00","7,840.00","7,953.00"
 Nashik ,"4,832.00","4,869.00","4,857.00","4,909.00"
 Indore ,"5,165.00","5,227.00","5,147.00","5,121.00"
 Chandigarh (Tricity) ,"6,552.00","6,634.00","6,589.00","6,588.00"
 Jaipur ,"5,207.00","5,307.00","5,230.00","5,279.00"
 Surat ,"6,647.00","6,721.00","6,754.00","6,752.00"
 Vadodara ,"5,301.00","5,366.00","5,264.00","5,282.00"
 Kochi ,"7,104.00","7,222.00","7,059.00","6,731.00"
 Kanpur ,"6,314.00","6,392.00","6,309.00","6,308.00"
 Lucknow ,"6,580.00","6,730.00","6,559.00","6,694.00"
 Coimbatore ,"6,752.00","6,614.00","6,830.00","6,837.00"
 Raipur ,"4,585.00","4,542.00","4,500.00","4,223.00"
 Patna ,"6,985.00","7,075.00","6,900.00","6,994.00"
 Bhopal ,"4,824.00","4,708.00","4,973.00","4,941.00"
 Bhubaneswar ,"8,903.00","9,214.00","9,451.00","9,549.00"
 Rajkot ,"6,486.00","6,529.00","6,584.00","6,594.00"
 Vizag ,"5,669.00","5,777.00","5,694.00","5,725.00"
 Dehradun ,"6,695.00","6,728.00","6,777.00","6,797.00"
 Ludhiana ,"4,317.00","4,311.00","4,351.00","4,354.00"
 Guwahati ,"6,208.00","6,262.00","6,168.00","6,168.00"
 Vijayawada ,"5,097.00","5,148.00","5,046.00","5,066.00"
 Meerut ,"4,573.00","4,640.00","4,619.00","4,674.00"
 Faridabad ,"7,146.00","7,223.00","7,115.00","7,302.00"
 Gurugram ,"16,121.00","16,730.00","16,679.00","17,484.00"
 Gandhinagar ,"7,724.00","7,756.00","7,669.00","7,445.00"
 Ghaziabad ,"7,399.00","7,624.00","7,508.00","7,735.00"
 Greater Noida ,"9,401.00","9,892.00","9,368.00","9,816.00"
 Noida ,"9,086.00","9,367.00","9,394.00","9,852.00"
 Delhi ,"12,081.00","11,968.00","12,190.00","11,608.00"
 Kalyan Dombivali ,"9,794.00","9,861.00","9,806.00","9,726.00"
 Mira Bhayander ,"14,728.00","14,955.00","14,998.00","15,136.00"
 Navi Mumbai ,"21,657.00","21,780.00","22,376.00","22,398.00"
 Panvel ,"15,246.00","15,734.00","15,366.00","15,301.00"
 Thane ,"19,628.00","19,851.00","19,630.00","19,749.00"
 Vasai Virar ,"7,568.00","7,675.00","7,767.00","7,756.00"
 Howrah ,"4,484.00","4,332.00","4,516.00","4,241.00"
 New Town Kolkata ,"7,637.00","7,728.00","7,675.00","7,593.00"
 Chakan ,"4,719.00","4,820.00","4,656.00","4,706.00"
 Pimpri Chinchwad ,"6,964.00","7,005.00","7,020.00","7,036.00"
 Ranchi ,"5,602.00","5,693.00","5,631.00","5,677.00"
 Thiruvananthapuram ,"8,200.00","8,353.00","8,132.00","7,809.00"
 Bhiwadi ,"3,300.00","3,319.00","3,467.00","3,594.00"
 Bidhan Nagar (Excluding Rajarhat) ,"6,125.00","6,123.00","6,294.00","6,340.00"
