Month/Year,01-05-2024,01-05-2024,01-05-2024,01-06-2024,01-06-2024,01-06-2024,01-07-2024,01-07-2024,01-07-2024,01-08-2024,01-08-2024,01-08-2024,01-09-2024,01-09-2024,01-09-2024,01-10-2024,01-10-2024,01-10-2024,01-11-2024,01-11-2024,01-11-2024,01-12-2024,01-12-2024,01-12-2024,01-12-2024,01-12-2024,01-12-2024,01-01-2025,01-01-2025,01-01-2025,01-02-2025,01-02-2025,01-02-2025,01-03-2025,01-03-2025,01-03-2025,01-04-2025,01-04-2025,01-04-2025,01-05-2025,01-05-2025,01-05-2025,01-06-2025,01-06-2025,01-06-2025,01-07-2025,01-07-2025,01-07-2025,01-08-2025,01-08-2025,01-08-2025
State / UT,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Pax Intl,Pax Dom,Pax Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total
A & N Islands,0,908,908,2,896,898,0,902,902,0,966,966,0,894,894,0,1144,1144,14,1322,1336,26,1244,1270,2565,200040,202605,22,1208,1230,18,1196,1214,17,1238,1255,21,1180,1201,20,1195,1215,19,1176,1195,0,966,966,0,1088,1088
Andhra Pradesh,111,5103,5214,96,4753,4849,103,4919,5022,99,5090,5189,90,5039,5129,94,5389,5483,94,5175,5269,99,5441,5540,14509,562244,576753,96,5644,5740,98,5644,5742,97,5750,5847,93,5655,5748,97,5768,5865,94,5668,5762,79,5265,5344,90,5350,5440
Arunachal Pradesh,0,152,152,0,172,172,0,196,196,0,196,196,0,214,214,0,257,257,0,302,302,0,336,336,0,20445,20445,0,252,252,0,263,263,0,259,259,0,261,261,0,257,257,0,251,251,0,198,198,0,188,188
Assam,72,4828,4900,68,4753,4821,62,4673,4735,82,4832,4914,80,4913,4993,96,5018,5114,89,5007,5096,102,5146,5248,7783,708203,715986,87,4697,4784,84,4641,4725,91,4789,4880,88,4716,4804,87,4734,4821,85,4706,4791,70,4842,4912,78,4616,4694
Bihar,11,2747,2758,0,2291,2291,10,2284,2294,0,2253,2253,0,2434,2434,62,2648,2710,140,2999,3139,190,2580,2770,19235,407956,427191,196,2323,2519,190,2319,2509,202,2497,2699,195,2418,2613,192,2389,2581,187,2343,2530,0,2989,2989,0,3067,3067
Chandigarh,98,2541,2639,120,2221,2341,116,2246,2362,116,2284,2400,112,2186,2298,108,2328,2436,96,2218,2314,96,2275,2371,17401,355338,372739,98,2116,2214,96,2127,2223,100,2151,2251,98,2139,2237,97,2135,2232,94,2097,2191,88,1884,1972,88,2000,2088
Chhattisgarh,0,1761,1761,0,1693,1693,0,1763,1763,0,1827,1827,0,1848,1848,0,1987,1987,0,1853,1853,0,2001,2001,0,245307,245307,0,2070,2070,0,1992,1992,0,2061,2061,0,2024,2024,0,2038,2038,0,1983,1983,0,1846,1846,0,1851,1851
Dadra & Nagar Haveli and Daman & Diu,0,214,214,0,212,212,0,104,104,0,218,218,0,212,212,0,222,222,0,256,256,0,226,226,0,10570,10570,0,242,242,0,221,221,0,228,228,0,230,230,0,234,234,0,224,224,0,274,274,0,264,264
Delhi,9390,29774,39164,9323,29315,38638,9615,29303,38918,9702,29783,39485,9498,28857,38355,9790,30362,40152,9415,29159,38574,9878,30352,40230,1953752,5111981,7065733,9969,29381,39350,9651,29137,38788,9772,29451,39223,9815,29342,39157,9732,29364,39096,9642,28854,38496,9352,26958,36310,9432,26627,36059
Goa,273,5960,6233,230,5717,5947,236,5602,5838,237,5936,6173,247,5789,6036,289,5946,6235,354,6198,6552,431,6788,7219,72006,1082626,1154632,444,6662,7106,432,6703,7135,437,6781,7218,440,6708,7148,433,6707,7140,423,6515,6938,269,5133,5402,249,5421,5670
Gujarat,1324,10880,12204,1271,10088,11359,1225,10007,11232,1282,10391,11673,1258,10047,11305,1369,11038,12407,1394,11105,12499,1478,11730,13208,229625,1460226,1689851,1500,11803,13303,1461,11816,13277,1489,11875,13364,1470,11826,13296,1457,11796,13253,1421,11525,12946,1520,9319,10839,1520,10107,11627
Himachal Pradesh,0,835,835,0,626,626,0,364,364,0,400,400,0,436,436,0,648,648,0,498,498,0,418,418,0,20608,20608,0,436,436,0,442,442,0,444,444,0,440,440,0,437,437,0,427,427,0,44,44,0,50,50
Jammu & Kashmir,41,3794,3835,24,3713,3737,20,3764,3784,0,3582,3582,0,3683,3683,0,3544,3544,0,3162,3162,0,3276,3276,0,483851,483851,0,3076,3076,0,3076,3076,0,3082,3082,0,3071,3071,0,3069,3069,0,2987,2987,0,288,288,0,192,192
Jharkhand,0,2110,2110,0,1758,1758,0,1880,1880,0,2004,2004,0,2055,2055,0,2091,2091,0,2442,2442,0,1992,1992,0,267534,267534,0,2033,2033,0,1996,1996,0,2058,2058,0,2046,2046,0,2031,2031,0,1997,1997,12,2890,2902,0,2646,2646
Karnataka,3037,22291,25328,2889,21336,24225,3062,21242,24304,3174,22013,25187,3140,21901,25041,3350,23235,26585,3272,21975,25247,3599,22752,26351,624184,3403974,4028158,3736,22983,26719,3705,22633,26338,3768,23131,26899,3745,22964,26709,3732,22927,26659,3646,22535,26181,0,1762,1762,0,1905,1905
Kerala,5996,5616,11612,6146,5507,11653,6395,5538,11933,6453,5866,12319,6085,5868,11953,5976,5996,11972,5693,6023,11716,6290,6310,12600,1000569,917762,1918331,6340,5889,12229,6264,5891,12155,6298,5924,12222,6282,5906,12188,6273,5899,12172,6138,5751,11889,3844,21260,25104,3902,21691,25593
Ladakh,0,911,911,0,887,887,0,892,892,0,914,914,0,908,908,0,752,752,0,524,524,0,528,528,0,75898,75898,0,482,482,0,500,500,0,492,492,0,489,489,0,486,486,0,472,472,6659,5128,11787,6669,5360,12029
Lakshadweep,0,286,286,0,328,328,0,308,308,0,364,364,0,380,380,0,368,368,0,404,404,0,302,302,0,12582,12582,0,326,326,0,306,306,0,314,314,0,312,312,0,309,309,0,296,296,0,952,952,0,852,852
Madhya Pradesh,35,4801,4836,27,4502,4529,29,4608,4637,34,4589,4623,36,4510,4546,36,4660,4696,34,4799,4833,36,5290,5326,4821,571602,576423,34,5318,5352,36,5297,5333,37,5349,5386,36,5320,5356,35,5307,5342,34,5178,5212,0,292,292,0,314,314
Maharashtra,7626,31974,39600,7420,30897,38317,7830,30860,38690,7820,32178,39998,7706,31395,39101,7846,32591,40437,7749,32532,40281,8373,32881,41254,1546501,4957425,6503926,8296,32623,40919,8245,32700,40945,8372,32831,41203,8333,32772,41105,8292,32690,40982,8179,32019,40198,26,4549,4575,36,4359,4395
Manipur,0,1006,1006,0,1091,1091,0,1072,1072,2,992,994,0,1043,1043,0,1021,1021,0,1083,1083,0,1028,1028,0,123375,123375,0,996,996,0,976,976,0,982,982,0,974,974,0,970,970,0,949,949,8123,30506,38629,8249,30501,38750
Meghalaya,0,306,306,0,294,294,0,244,244,0,256,256,0,224,224,0,210,210,0,192,192,0,176,176,0,8688,8688,0,166,166,0,165,165,0,166,166,0,165,165,0,162,162,0,157,157,0,834,834,0,796,796
