State,01-04-2017,01-05-2017,01-06-2017,01-07-2017,01-08-2017,01-09-2017,01-10-2017,01-11-2017,01-12-2017,01-01-2018,01-02-2018,01-03-2018,01-04-2018,01-05-2018,01-06-2018,01-07-2018,01-08-2018,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019,01-10-2019,01-11-2019,01-12-2019,01-01-2020,01-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,01-07-2020,01-08-2020,01-09-2020,01-10-2020,01-11-2020,01-12-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-01-2022,01-02-2022,01-03-2022,01-04-2022,01-05-2022,01-06-2022,01-07-2022,01-08-2022,01-09-2022,01-10-2022,01-11-2022,01-12-2022,01-01-2023,01-02-2023,01-03-2023,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023,01-12-2023,01-01-2024,01-02-2024,01-03-2024,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-08-2025
ALL India,132.9,133.3,133.9,136.2,137.8,137.6,138.3,140,139.8,139.3,138.5,138.7,139.1,139.8,140.5,141.8,142.5,142.1,142.2,142.4,141.9,141,141,141.2,141.7,142.4,143.6,144.9,145.7,146.7,148.3,149.9,152.3,151.9,150.4,149.8,151.9,151.2,152.7,154.7,155.4,157.5,159.8,160.7,158.5,156.8,156.7,156.7,157.6,161.1,162.1,163.2,163.6,164,166.3,167.6,167,166.4,166.7,168.7,170.8,172.5,173.6,174.3,175.3,176.4,177.9,177.8,177.1,177.8,177.9,178,178.8,179.8,181.9,187.6,187.6,185.8,187,188.2,187.6,187.3,187.4,187.8,188.5,189.4,192.2,195.3,195.4,196.7,199.5,199.4,198.4,195.9,194.5,193.9,194,194.3,195.5,197.6,198.7
Andaman and Nicobar Islands,136.9,138.8,138.9,140.8,139.6,139.4,139.3,144.2,143.7,144.1,143.8,143.3,145,144.7,144.8,147.1,146.6,146.5,152.7,163.6,158.4,159,158.5,159.8,158,157.8,160.6,161.1,161.6,164.5,165.6,168.1,168,167.9,167.4,166.9,,,167.8,165.2,169.2,168.2,172.6,173.8,174.6,170.7,170.6,172.5,172.9,172.6,176.2,175.8,178,179.8,181,183.9,188.1,184.9,182.3,181.9,186.5,191.5,194.6,190.2,186.9,189.9,193.7,196.1,196.3,194.6,195.3,197.2,193.6,199.8,199.7,201,197,191.8,195.1,198.5,199.8,198.5,197.7,193.3,193.7,198.3,202.3,207.2,201.9,199.7,201.1,204.2,206.1,203.2,200.1,200.1,201.5,201.8,203.3,205,204.8
Andhra Pradesh,136.7,137.5,138.9,141.6,141.3,140.8,143,146.3,146.1,144.6,142.3,142.1,142.4,143.9,144.1,145.4,145.5,142.1,138.5,139.6,139.8,139.9,140.4,140.3,140.9,141.5,143.6,143.9,143.1,143.5,144.8,146.5,150,148.2,146.7,146.6,,,155.7,155.1,155,157.2,160,160.8,160.5,159.8,160.3,159.7,160.6,163.1,164.1,164.8,165.8,165.5,166.8,168.9,169.2,167.3,167.2,169.6,172.6,177.5,178.3,176.4,175.8,178.2,180.2,180.4,180.6,181.8,181.4,181.1,181.5,183.1,187.1,192.2,190.6,188.9,189.2,190.8,190.9,191.4,192.2,191.6,192.8,194.9,198.7,198.7,196.6,198.1,201.4,200.7,199.5,199.2,196.3,195.7,197.3,197.5,197.7,198.6,199.6
Arunachal Pradesh,140.2,141.4,141.6,141.4,142.1,143.7,146,147.8,147.5,147.9,147.9,147.9,149.8,150.5,152.1,154.9,156.8,160.8,161.3,165,162.3,160.4,158.9,157.2,156.5,157.3,158.2,157.9,158,158,158.5,158.8,160.8,159.8,158.1,157.9,,,158.8,160.2,161.8,162.9,164,165.3,164.5,163.7,163.2,162.3,162.5,167.6,168.9,170,171.6,172.5,173.1,173.8,172.9,174.1,174,174.5,177.5,180.8,181,181.6,182.6,182.8,183.4,183.7,183.7,182.1,182,182.6,183.1,183.8,185.4,187.5,188.4,187.5,190.3,188.6,189.2,189.6,190.4,190.4,191.7,193.1,194.5,196.2,197.6,198.3,199.5,200.8,199.1,197.6,196.9,196.2,197.1,199.4,201.1,202,201.6
Assam,127.1,128,129.1,130.1,132.3,133.6,134.9,137.9,138.4,137.8,136.8,137.1,137.9,138.6,139.6,140.9,141.4,141.5,143.5,145.3,145,144.2,144.1,144,143.9,145,145.4,147.4,148.5,150.7,151.7,152.7,154.8,154.1,152.6,151.3,,,164.8,163,162.7,163.6,165.7,165,162.5,160.1,157.4,157.1,158.8,162.4,164.6,165.7,167,168.3,170.8,171.7,170.2,169.4,168.6,171,173.4,175.5,178,179.9,180.7,181.1,181.2,181,180,179.3,178.3,178.4,179.5,181,182,186.4,187.4,188.4,189.5,189.8,189.6,189.3,189,189.4,190,190.6,192.7,196.3,197.1,197.8,200.8,199.6,200.1,198,196.8,195.8,194.9,194.5,195.3,193.8,194.6
Bihar,133.4,133.2,133.7,135.1,138,137.8,138.7,139.8,140.2,140.4,139.3,139.6,139.7,140.4,140.5,141.5,142.4,143.5,145.5,147.2,146,142.7,140.9,140.2,139.8,139.8,140.5,142.2,143.2,144,146.3,148.5,151.2,150.6,147.6,146.2,,,149,151.3,153.3,156.4,160.6,162.4,158.4,153.5,153.1,152.5,152.5,155.3,157.6,158.7,159.2,160.8,163.6,166.1,164.3,162.1,162,164.2,164,163.9,164.4,166.6,169.1,170.9,173.2,172.8,172.3,172.7,172.4,172.4,172.7,173.9,174.5,179.5,180.2,180.3,183,183.3,182.4,180.9,180,182.2,181.7,183.4,185.8,190.4,192.4,194,197.4,197,195.7,189.7,187.8,187.4,186.6,185.6,186.7,189.6,193
Chandigarh,138.1,137.5,136.6,137.9,140.6,141.3,140.8,142.9,143.5,140.5,138.1,138.3,139,139.4,141,143.2,144.6,144.3,141.9,140.5,140.7,138.7,137.9,139.1,141.4,142.2,142.9,143.9,144.2,146.6,148.3,146.6,153.5,152.6,150.4,149.4,,,150.6,153.1,152.7,155.7,157.5,157.1,156.4,155.4,155.5,157.4,157,155.9,157.1,161.9,162.8,164.6,167.6,169.8,169.4,167,167,166.8,169.6,169.7,171.5,170.2,171.5,172.5,174.5,175.6,175.2,174.5,174.5,175.3,178.8,179.1,180.7,187.7,188.2,184.5,185.1,184.4,182.8,180.9,181.1,182.5,183.1,183.5,185.4,190.1,190.8,192.1,195.8,196.7,195.8,192.1,189.9,190,190.8,191.3,191.9,193.4,195.7
Chhattisgarh,135.8,136.3,137.2,142.8,143.4,142.4,143.1,145.1,142.4,140.8,140.3,139.5,139.4,140.4,142.1,143.9,146,147.4,144.2,141,140,139.5,139.1,138.5,138.6,140,142.3,142.6,141.9,142.8,145.2,146.3,146.7,146.6,144.8,144.5,,,150.9,154.4,155.2,159,160.3,161,158.9,155.6,154.6,153.9,155.5,158.7,159.4,160.6,161.5,161.5,163.8,166.1,165.5,164.3,164.8,165.7,168.8,169.4,171,172,171.8,173.4,174,173,170.8,169.8,168.9,168.4,168.7,169.9,172.2,181.4,179.9,175.9,177.3,178.2,177.8,176.8,176.7,177.4,179,179.1,182,186,188.3,190.3,194.5,195.2,193.1,188.8,186.6,185.8,184.9,185.6,187.1,189.9,192.2
Dadra and Nagar Haveli,140.4,140.5,141.3,136.6,140.7,138.3,137.8,139.6,139.3,137.3,139,138.1,135.6,136.3,135.9,139.9,141.4,140.7,142.4,140.5,139.6,136.4,138.6,140.2,139.1,139.7,140,139.8,142.4,144.2,146,144.8,146,145.3,144.1,143.8,,,144.4,146.1,145.3,143.2,146.4,146.9,143,140.5,142.3,143.1,144,147,150.5,150.8,150.7,150.7,153.7,153.8,154.7,154.1,154,153.5,155.8,158.8,159,160.1,160.4,159.3,162.3,161.1,159.3,163.7,163.4,164.7,166,167.6,168.5,175.9,173.3,170.5,171.8,172.6,172.5,172.7,172.3,173.7,173.8,174.8,181.5,184.7,183.3,182.8,184.8,185.2,183.8,182.2,178.5,176.7,178.4,178.3,179.9,181.3,179.4
Daman and Diu,156.4,157.3,159.8,161.2,162.6,164,164.2,164.3,163.1,163.6,164.2,161.9,161.3,162.3,162.1,163.1,164,161.9,152.9,147.2,144.9,142.4,142.8,141.8,144.1,144.5,146.2,146.1,147.7,148.5,152.3,153.4,153.2,154.1,152.9,153.9,,,156.4,157.6,156.6,159.5,160.9,163.4,163.3,160.9,160.4,161.2,163.7,167.2,168.9,167.9,165,165.8,169.6,170.4,171.7,171.4,169.8,170.9,174.1,176.5,178.6,178.3,181.6,180,180.8,179.6,177.6,178.6,181.3,180.8,180.8,180.4,183.1,192.1,193.2,187.3,186.6,188,185.5,186.9,188.6,187.2,186.7,186.6,190.1,197.6,195.5,199.9,202,203.5,200.6,199.5,197.6,196.8,197,197.1,199.3,203.8,202.4
