As On End,01-03-2023,01-03-2023,01-03-2023,01-06-2023,01-06-2023,01-06-2023,01-09-2023,01-09-2023,01-09-2023,01-12-2023,01-12-2023,01-12-2023,01-03-2024,01-03-2024,01-03-2024,01-06-2024,01-06-2024,01-06-2024,01-09-2024,01-09-2024,01-09-2024,01-12-2024,01-12-2024,01-12-2024,01-03-2025,01-03-2025,01-03-2025,01-06-2025,01-06-2025,01-06-2025
"REGION / STATE /
UNION TERRITORY",Credit Limit,Amount Outstanding,Saturation (Amount outstanding/credit limit),Credit Limit,Amount Outstanding,Saturation (Amount outstanding/credit limit),Credit Limit,Amount Outstanding,Saturation (Amount outstanding/credit limit),Credit Limit,Amount Outstanding,Saturation (Amount outstanding/credit limit),Credit Limit,Amount Outstanding,Saturation (Amount outstanding/credit limit),Credit Limit,Amount Outstanding,Saturation (Amount outstanding/credit limit),Credit Limit,Amount Outstanding,Saturation (Amount outstanding/credit limit),Credit Limit,Amount Outstanding,Saturation (Amount outstanding/credit limit),Credit Limit,Amount Outstanding,Saturation (Amount outstanding/credit limit),Credit Limit,Amount Outstanding,Saturation (Amount outstanding/credit limit)
Chhattisgarh,217610.6493,150393.4311,0.69111246,217822.9374,150292.0215,0.689973349,244029.6771,161058.0746,0.659993803,247637.0347,172677.5603,0.697301034,260461.351,177413.0398,0.681149196,267307.9324,183955.7052,0.688178998,271690.3196,188268.8093,0.692953689,287716.8227,198788.6685,0.69091778,294702.9918,203319.2884,0.689912536,302943.2267,209817.9825,0.692598362
Madhya Pradesh,569496.909,375456.6829,0.659277824,605794.4837,376513.9897,0.621520994,637947.3114,408596.6163,0.640486462,645586.0655,425687.8144,0.659381974,658266.1315,448527.7543,0.681377535,690601.5724,458754.8396,0.664282935,713736.0458,468334.7268,0.656173567,733977.7489,488959.5139,0.666177571,776339.8881,505776.4347,0.651488404,787240.5114,515500.719,0.654819857
Uttarakhand,99599.8324,69892.281,0.70173091,101111.513,71706.1549,0.709178933,114894.8261,81471.4512,0.709095909,119798.4426,84753.393,0.707466568,121283.6023,86239.9694,0.711060422,128667.7585,89247.5002,0.693627535,131648.7221,92223.5393,0.700527417,135940.1469,95471.2412,0.702303502,142066.3219,97507.9937,0.686355446,145286.718,101339.099,0.697511104
Uttar Pradesh,909108.6196,644125.8247,0.708524604,926939.6344,648332.5796,0.699433443,1023512.409,724494.4111,0.707851126,1081788.77,763539.6298,0.705812124,1137135.003,795540.6663,0.699600895,1177224.688,811078.9788,0.688975509,1204777.43,827702.1293,0.687016629,1250052.331,862070.9214,0.689627866,1294882.417,889796.5741,0.687163994,1316510.269,905218.472,0.687589374
CENTRAL REGION,1795816.01,1239868.22,0.690420518,1851668.569,1246844.746,0.673362807,2020384.224,1375620.553,0.680870766,2094810.313,1446658.398,0.690591596,2177146.088,1507721.43,0.692521939,2263801.951,1543037.024,0.681613081,2321852.518,1576529.205,0.678996272,2407687.049,1645290.345,0.68334892,2507991.619,1696400.291,0.676397911,2551980.725,1731876.273,0.678640029
Andaman & Nicobar Islands,4724.3549,3674.7137,0.777823381,4864.6297,3754.4217,0.771779546,5012.2766,3858.1406,0.769738166,5250.2656,4021.6531,0.76599041,5462.3922,4109.8492,0.752389988,5530.1096,4149.4103,0.750330572,5610.6494,4266.3586,0.760403707,5759.9975,4369.6316,0.758616926,5931.9711,4462.6513,0.752304963,6115.9407,4612.8183,0.754228748
Bihar,264211.0596,197375.5904,0.747037579,272871.9065,202184.446,0.740950025,286577.3622,213109.0811,0.743635434,302028.6644,222398.8165,0.736350031,317595.7954,238171.4005,0.749919879,331933.7848,241498.4735,0.727550146,342946.4063,246864.3546,0.719833624,353511.5188,253674.0971,0.717583681,364016.0884,261780.4413,0.719145251,371083.3492,266842.9832,0.719091772
Jharkhand,142974.1396,99191.9032,0.693775136,146981.0628,101082.4323,0.68772419,154725.2672,107271.8852,0.693305542,161991.3096,113534.1657,0.700865781,171373.0312,119135.5387,0.695182538,178310.4509,122868.1398,0.689068639,184072.4358,128878.6394,0.700151757,192211.3518,134781.8178,0.701216742,206178.8007,137628.1859,0.667518607,210929.5917,138341.6872,0.655866662
Odisha,277300.4369,192227.931,0.693211786,296977.5515,201109.7846,0.677188507,302456.9478,213351.6151,0.705394988,326663.7948,228695.3387,0.700093926,333154.8354,237387.7806,0.712544905,347754.5929,239667.5176,0.689185772,352767.8785,240007.5005,0.680355313,381631.0133,252223.2284,0.660908625,402589.4541,264838.2775,0.657837096,402082.0812,269581.1704,0.67046303
