State Name,01-12-2019,01-03-2020,01-06-2020,01-09-2020,01-12-2020,01-03-2021,01-06-2021,01-09-2021,01-12-2021,01-03-2022,01-06-2022,01-09-2022,01-12-2022,01-03-2023,01-06-2023,01-09-2023,01-12-2023,01-03-2024,01-06-2024,01-09-2024,01-12-2024,01-03-2025,01-06-2025
MAHARASHTRA,22303.29,52073.01,60931.73,79216.47,153351.42,171806.86,201947.91,222573.96,245799.41,288905.49,329291.7,351330.6,374091.74,407327.98,443961.49,472829.62,507439.98,532428.74,603223.99,645664.27,671862.69,697303.95,743224.85
KARNATAKA,16985.65,30746.17,41000.72,58204.21,78159.54,87630.64,149715.38,190499.92,215198.47,251428.53,272908.46,293106.09,321443.97,335056.87,347103.17,358517.35,365276.08,389483.39,408541.97,419080.73,427129.89,445513.36,494317.81
GUJARAT,6205.53,18964.04,22018.72,138530.4,177052.96,181794.49,187470.02,192941.99,197117.38,201966.2,226658.55,228832.67,234315.16,239024.86,245017.99,257908.67,287435.3,299624.37,308132.86,332684.27,346311.41,347571.6,357816.11
DELHI,17389.82,28487.08,35724.3,48350.25,59830.05,68951.42,83324.52,106537.03,116478.32,129974.39,147961.98,165460.43,178424.1,190093.31,205450.96,215675.83,221454.56,244073.36,254861.58,270880.63,281408.87,295613.48,305016.75
TAMIL NADU,3741.31,7230.44,10607.94,14292.21,19733.95,24438.86,30078.87,32807.43,42139.82,46839.78,52675.88,59111.48,61795.84,64086.28,69267.65,75201.91,78633.76,84243.09,92568.57,97795.81,108617.11,115345.8,138247.93
HARYANA,3184.46,5198.08,6930.47,10309.51,13661.21,17757.49,20337.71,23018.31,32916.92,38736.93,46917.77,52376.16,54624.12,59472.38,63528.12,67501.73,70245.8,75269.59,81087.77,86243.38,99225.06,101869.21,110690.75
TELANGANA,2215.35,4865.19,9044.7,9909.77,11331.61,13482.9,17709.15,20988.75,23051.74,25447.17,29690.12,33025.36,33940.86,35766.09,42595.33,45445.14,55672.06,60860.43,69883.13,73725.42,78203.72,86211.27,89591.53
JHARKHAND,3.16,13207.71,19192.29,19197.79,19200.19,19200.28,19200.99,19202.79,19203.41,19248.22,19290.45,19290.45,19290.77,19291.84,19370.55,19370.56,19381.73,19382.14,19382.14,19382.14,19382.2,21222.35,25900.55
RAJASTHAN,1122.76,1347.24,1957.81,2120.9,2518.62,3362.62,4265.17,5304.29,7112.52,8639.54,11724.58,14233.91,14661.01,15857.62,16643.06,17292.73,17724.74,18052.36,18363.43,19294.75,20439.77,19443.21,19468.1
UTTAR PRADESH,264.36,1737.62,2499.85,3417.94,4102.99,4861.07,5211.98,5526.27,5758.17,6480.57,7357.07,7994.19,9434.52,9853.29,10535.4,11033.46,11711.69,12615.44,12985.36,13346.32,15200.6,16315.55,17003.75
WEST BENGAL,418.15,1363.41,3290.51,3341.81,4308.98,4478.06,5526.78,6114.45,6843.13,7679.73,7791.22,8261.52,9617.85,10897.13,11335.36,11582.01,11846.14,12398.46,12827.44,13163.93,13945.5,14932.58,15256.66
PUNJAB,324.45,697.91,827.32,862.76,1078.38,5417.36,5543.52,5595.29,5695.29,6366.09,6444.88,6499.53,6580.25,7127.79,7552.9,7693.25,7971.57,8618.03,8892.82,10152.69,10782.89,10882.19,12505.8
KERALA,207.27,409.31,987.96,1291.9,1945.99,1990.31,2154.57,3251.01,4260.87,4587.81,4806.38,5069.5,5738.01,5918.5,6126.29,6187,7252,7551.92,7831.24,9086.42,9183.37,9376.63,9839.44
ANDHRA PRADESH,460.95,1475.99,1652.31,1798.81,1975.74,2114.71,2577.1,2740.78,3298.35,3796.32,4056.89,4960.33,5751.7,6048.45,6495.19,6679.25,6743.7,6808.2,7463.62,8461.23,8679.14,8765.24,10071.97
MADHYA PRADESH,221,542.04,1283.34,1671.41,1949.86,2086.12,2233.52,2297.1,2374.58,3646.45,3786.52,3864.3,3885.94,3955.83,4007,4057.12,4116.43,4151.09,4184.38,4492.21,4563.1,4653.22,4759.67
HIMACHAL PRADESH,71.16,85.13,117.31,128.6,165.51,166.6,222.16,222.16,1196.71,1197.3,1254.81,1349.81,1351.13,1469.65,1896.18,1896.18,1896.18,1926.54,2126.54,2327.01,2582.27,2882.27,3284.39
BIHAR,0.64,40.24,122.06,123.04,125.83,372.24,395.34,395.51,1249.53,1249.53,1257.2,1270.2,1638.43,1638.72,1639.04,1639.05,1639.76,1640.04,1643.04,1647.96,1691.57,1728.91,1820.12
UTTARAKHAND,80.7,105.19,113.74,116.16,127.35,144.3,156.3,917.8,918.56,919.14,939.67,940.7,940.71,941.19,1114.82,1404.11,1420.23,1436.07,1456.93,1628.05,1649.54,1650.05,1650.73
Dadra and Nagar Haveli and Daman and Diu,-,-,-,63.26,58.71,58.71,994.58,994.58,1054.1,1102.07,1102.07,1102.07,1246.53,1246.53,1277.35,1277.35,1312.89,1322.94,1323.44,1343.44,1390.6,1517.75,1552.35
ODISHA,14.47,93.53,107.74,173.65,219.76,239.71,481.93,488.37,513.24,950,971.4,1112.98,1177.82,1204.22,1228.48,1251.7,1275.32,1276.82,1305.26,1328.44,1343.44,1343.44,1461.74
GOA,377.08,459.92,479.67,560.59,570.57,581.09,618.07,642,815.28,861.78,866.4,869.92,957.62,957.7,999.66,1099.42,1114.43,1248.09,1251.09,1308.25,1312.21,1315.84,1360.44
CHANDIGARH,15.94,25.58,63.38,67.67,94.26,100.7,187.65,223.41,320.44,486.38,498.3,504.88,573.91,595.78,608.46,731.27,838.41,852.06,860.83,866.05,868.72,1138.27,1176.45
PUDUCHERRY,3.18,3.18,6.1,6.1,430.52,430.86,430.86,430.86,430.86,432.33,463.08,466.88,467.12,467.12,467.74,479.22,503.47,506.65,509.03,767.81,810.41,895.91,899.88
CHHATTISGARH,-,0.2,-,2.57,0.2,0.2,0.92,2.4,7.51,7.54,7.54,16.5,17.01,26.87,32.6,446.12,446.12,446.12,461.23,509.08,520.62,574.86,575.86
ASSAM,18.24,21.06,39.43,60.71,77.7,104.28,105.12,120.85,121.93,137.04,147.68,150.88,151.89,153.49,154.43,154.47,155.41,155.41,160.54,170.66,175.16,179.67,180.68
ARUNACHAL PRADESH,-,4.5,4.85,5.5,39.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,53.25,53.25,53.25,53.25
MEGHALAYA,-,-,-,-,-,-,-,-,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.19,9.6,9.64,10.41,10.43,10.56
JAMMU AND KASHMIR,-,-,-,1.57,1.57,1.57,1.57,1.57,1.61,2.67,5.93,8.15,8.3,8.3,8.32,8.32,8.32,8.32,8.57,9.75,9.75,9.75,9.75
TRIPURA,-,-,3.24,3.24,3.24,3.24,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,5.19,5.78,5.78,8.79,9.08,9.08,9.08
LADAKH,-,-,-,-,-,0.2,0.6,0.85,0.85,1.2,1.2,1.4,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
NAGALAND,-,-,-,-,-,-,-,-,-,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.51,0.51,0.51,0.52
MANIPUR,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
State Not Indicated,380.85,2375.02,2354.87,2358.96,2496.99,2509.79,2509.79,172.06,172.06,172.06,207.66,207.66,207.64,207.64,208.04,208.04,208.04,212.81,212.81,246.69,246.69,246.69,246.69
Gross-Total,76009.77,171558.79,221178.97,396171.48,554613.65,614127.61,743447.26,844056.95,934104.38,1051315.69,1179138.81,1261471.96,234114.1,1418750.55,1508680.7,1587626.01,1683780.24,1786649.19,1921607.72,2035681.3,2127611.25,2208578.02,2368005.84
