Month-Year,01-05-2024,01-05-2024,01-05-2024,01-06-2024,01-06-2024,01-06-2024,01-07-2024,01-07-2024,01-07-2024,01-08-2024,01-08-2024,01-08-2024,01-09-2024,01-09-2024,01-09-2024,01-10-2024,01-10-2024,01-10-2024,01-11-2024,01-11-2024,01-11-2024,01-12-2024,01-12-2024,01-12-2024,01-01-2025,01-01-2025,01-01-2025,01-02-2025,01-02-2025,01-02-2025,01-03-2025,01-03-2025,01-03-2025,01-04-2025,01-04-2025,01-04-2025,01-05-2025,01-05-2025,01-05-2025,01-06-2025,01-06-2025,01-06-2025,01-07-2025,01-07-2025,01-07-2025,01-08-2025,01-08-2025,01-08-2025
State / UT,Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT)
A & N Islands,0,529.9,529.9,0,656.1,656.1,0,697.6,697.6,0,735.2,735.2,0,629.7,629.7,0,706.8,706.8,0,640.1,640.1,0,823.8,823.8,0,724.9,724.9,0,679.2,679.2,0,707.5,707.5,0,703.4,703.4,0,702.9,702.9,0,694.8,694.8,0,613.8,613.8,0,650.1,650.1
Andhra Pradesh,0,599.2,599.2,0,443.1,443.1,0,328.7,328.7,0,405.3,405.3,0,380.3,380.3,0,437.5,437.5,0,424.2,424.2,0,583.9,583.9,0,427.6,427.6,0,426.3,426.3,0,435.9,435.9,0,432.2,432.2,0,436.5,436.5,0,425.6,425.6,0,538.7,538.7,0,473.8,473.8
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,2.6,2.6
Assam,0,2267.9,2267.9,0,2261.8,2261.8,0,2390.1,2390.1,0,2298.4,2298.4,0,2472.7,2472.7,0,2584,2584,3.2,2570.6,2573.8,0.1,2880.3,2880.4,0,2581.4,2581.4,0,2593.6,2593.6,0,2615.8,2615.8,0,2597.9,2597.9,0,2607.2,2607.2,0,2588.4,2588.4,0,2785.6,2785.6,2.2,2757.1,2759.3
Bihar,0,826.3,826.3,0,985.6,985.6,0,768.5,768.5,0,777.7,777.7,0,817,817,0,897.4,897.4,0,676.6,676.6,0,789.9,789.9,0,810.5,810.5,0,801.5,801.5,0,822.3,822.3,0,814.7,814.7,0,808.8,808.8,0,798.5,798.5,0,991.6,991.6,0,950.5,950.5
Chandigarh,0,1848.3,1848.3,0,1285.2,1285.2,0,1300.8,1300.8,0,1033,1033,0,1210,1210,0,1412.4,1412.4,0,1080.7,1080.7,0,985.4,985.4,0,889.4,889.4,0,892.6,892.6,0,903.5,903.5,0,896.3,896.3,0,893.7,893.7,0,875.9,875.9,0,1235.9,1235.9,0,1134,1134
Chhattisgarh,0,444.6,444.6,0,440.9,440.9,0,409.5,409.5,0,427.9,427.9,0,427.9,427.9,0,520.8,520.8,0,380.6,380.6,0,426.7,426.7,0,428.7,428.7,0,419.3,419.3,0,433.6,433.6,0,426.2,426.2,0,430.6,430.6,0,419.9,419.9,0,461.4,461.4,0,444.2,444.2
Dadra & Nagar Haveli and Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,60539.6,30038.7,90578.2,60770,29341.1,90111.1,61741.5,30195.8,91937.2,64322.2,29857.3,94179.5,65429.4,34585.6,100015,64142.7,37614.2,101756.9,56012.8,31816.6,87829.3,59702.3,34051.6,93753.9,59669,32686.1,92355,58864.7,32411.9,91276.6,59240.8,32515.6,91756.4,59388.6,32472.4,91861,59120.4,32540.9,91661.3,58579.8,32134.4,90714.2,63078.1,32775.1,95853.2,62727.1,33510.8,96237.9
