State/Union Territory,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023,01-12-2023,01-01-2024,01-02-2024,01-03-2024,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-08-2025
Jammu and Kashmir,795.15,412.19,576.71,538.04,513.06,554.65,585.8,465.87,490.12,563.58,528.11,595.27,781.86,513.66,539.62,612.59,554.66,588.75,600.17,580.48,542.53,643.21,515.24,586.09,867.94,565.16,552.11,580.76,568.45
Himachal Pradesh,954.5,826.6,837.67,914.29,723.81,781.56,884,800.88,742.9,872.64,745.28,850.73,1013.53,836.6,882.57,851.59,825.08,854.38,865.01,874.35,813.84,814.19,864.7,827.41,1088.7,841.18,894.72,941.39,864.84
Punjab,2271.23,1707.44,1925.71,1956.51,1781.81,1831.64,1949.19,2243.1,1857.51,2164.02,1933.98,2061.28,2760.64,2143.79,2253.18,2020.97,1899.32,1897.88,2175.24,2291.62,2267.29,2328.1,2095.27,2133.53,3063.26,2366.25,2185.95,2281.85,2168.1
Chandigarh,252.77,256.99,226.31,216.21,191.05,217.81,208.21,209.85,280.48,246.48,208.86,235.97,308.77,233.83,220.13,232.46,242.4,194.38,242.17,246.66,218.09,262.48,230.45,237.63,332.04,361.69,214.55,219.6,212.12
Uttarakhand,2133.49,1421.86,1511.05,1596.63,1344.24,1381.19,1824.32,1590.42,1459.84,1601.95,1514.56,1720.27,2229.01,1824.12,1693.35,1687.08,1341.64,1573.28,1824.32,1810.16,1538.61,1644.38,1643.5,1732.06,2574.43,1594.25,1688,1761.62,1436.17
Haryana,9524.22,6824.44,7451.89,7403.92,6993.46,7392.45,8018.61,9062.42,7553.83,9041.24,7678.45,8928.55,11557.16,8677.39,8443.08,8470.01,7956.51,9263.49,9356.63,9099.58,9775.79,9570.77,9263.14,10051.16,13323.41,9478.39,9236.56,9502.39,9076.43
Delhi,6237.33,5035.22,4641.61,5304.58,4524.01,4739.88,7641.86,5237.69,5009.97,5642.77,5423.44,5695.39,7656.95,7393.87,5175.61,5849.11,5521.46,5717.53,8538.59,6184.42,5500.91,6096.19,5974.11,6041.42,8196.23,10289.24,5526.51,5973.42,5639.06
Rajasthan,4639.12,3801.35,3767.13,3876.85,3526.99,3713.86,3852.66,4490.68,3652.97,4349.29,4024.72,4626.15,5380.19,4277.1,4125.9,4221.29,3699.06,3805.77,4265.77,4411.87,3971.61,4722.57,4574.87,5296.29,6049.91,4702.09,4379.71,4404.53,4222.13
Uttar Pradesh,9050.27,6399.28,6740.68,7354.81,6203.46,6522.96,7540.56,7637.65,6687.6,7410.31,6726.28,7863.02,10929.82,7812.15,8117.36,7733.47,6965.64,6865.7,8228.53,7996.6,6757.49,8009.63,7425.02,8793.42,12196.22,7732.48,7674.68,8360.17,7647.43
Bihar,1501.4,1163.53,1252.59,1309.75,1224.98,1206.97,1210.44,1253.26,1297.9,1403.73,1303.02,1850.47,1820.18,1330.62,1339.4,1383.12,1341.84,1321.16,1427.13,1391.86,1369.54,1518.15,1457.77,2428.65,2144.23,1698.47,1528.42,1623.52,1550.76
Sikkim,425.87,334.38,287.46,313.87,319.47,314.69,326.07,233.48,253.66,295.08,299.05,303.22,403.43,311.5,317.57,324.89,325.64,323.7,332.79,355.44,329.37,356.63,331.5,349.12,470.06,424.11,363.67,400.86,454.16
Arunachal Pradesh,238.04,120.05,90.56,73.63,82.38,81.13,86.41,91.73,96.47,76.8,100.9,167.47,199.98,98.06,91.01,80.71,73.4,91.94,58.28,70.75,70.2,88.57,101.45,173.99,331.71,150.3,88.05,88.15,88.23
Nagaland,78.95,47.35,75,40.01,49.17,47.83,46.84,63.76,42.65,47.56,47.18,78.56,81.73,41.34,47.43,55.9,41.26,47.6,43.72,50.33,48.42,62.47,54.54,83.19,120.76,63.44,83.06,67.55,54.35
Manipur,90.44,39.23,60.36,42,39.81,56.27,69.24,39.61,49.85,55.86,55.4,69.05,103.9,58.48,62.02,67.64,55.52,37.81,66.58,38.18,45.73,55.44,50.33,56.84,120.46,117.96,39.8,43.14,42.03
Mizoram,70.86,37.99,55.32,39.07,31.86,27.36,39.38,32.5,26.74,38.63,49.32,50.17,107.99,38.89,41.97,38.77,27.44,26.13,41.39,37.86,28.24,34.62,41.62,46.27,77.75,28.66,30,30.54,29.82
Tripura,132.91,74.35,75.08,77.53,78.2,72.97,91.28,83.02,79.18,80.42,85.13,120.64,160.58,72.44,74.1,71.88,85.15,78.35,103.65,98.3,82.95,100.4,103.2,159.38,149.11,92.07,87.22,101.15,86.46
