State/UT,City,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25
Andhra Pradesh,Nellore,1068,1217,1208,1150,1124,1437,1182,1289,1248,1321,1282,1136,1205,1160,1188,1139,1180,1315,1171,1122,1128,1194,1312,1147,1248
Andhra Pradesh,Tirupati,1138,1099,1191,1133,1113,1236,1221,,1188,1242,,,1279,1241,1190,1231,1059,1302,1197,,1256,1310,,,1286
Andhra Pradesh,Vijayawada,1043,965,1053,997,1022,1211,1105,1067,1118,1074,1213,1173,1065,1182,1025,1071,1036,1256,1123,1103,1163,1148,1258,1056,1191
Andhra Pradesh,Visakhapatnam (Vizag),758,946,914,812,835,967,893,911,963,891,1013,881,942,1008,848,942,906,1043,922,1037,1002,1006,1125,882,1023
Assam,Guwahati,1093,1117,1087,1137,1236,1184,1273,1145,1245,1105,1154,1058,1155,1121,1047,1059,1073,1231,1095,1173,1165,1173,1180,1134,1294
Bihar,Patna,1117,1017,1133,1278,1241,1248,1306,1253,1285,1246,1363,1256,1225,1199,1072,1246,1331,1387,1254,1405,1313,1322,1424,1234,1447
Chandigarh (UT),Chandigarh,2091,1727,1595,1724,1783,1794,1740,1801,1880,1751,1934,1642,1849,1737,1498,1685,1694,1760,1575,1897,1771,1728,1842,1725,1922
Chhattisgarh,Raipur,1362,1460,1199,1478,1596,1540,1566,1636,1770,1586,1695,1433,1593,1566,1390,1525,1705,1768,1620,1940,1844,1928,1830,1655,2007
Dadra & Nagar Haveli (UT),DNH & Daman & Diu,1344,1382,1176,1382,1310,1372,1378,1419,1564,1409,1442,1316,1447,1394,1181,1391,1486,1560,1410,1660,1575,1662,1832,1550,1768
Delhi (NCR),Delhi/NCR,2670,2558,2375,2572,2544,2814,2744,2744,2952,2612,2965,2610,2828,2763,2429,2768,2689,2890,2586,2934,2922,2888,3130,2683,3092
Gujarat,Ahmedabad,5981,5532,4757,5817,5578,6266,5832,5965,6248,5772,6409,5419,6054,6257,5070,6249,5940,6518,5615,6280,6172,6187,6510,5687,6579
Gujarat,Vadodara (Baroda),3013,3442,2858,3502,3213,3467,3427,3436,3513,3324,3662,3267,3185,3342,2893,3353,3268,3467,3101,3595,3563,3505,3851,3184,3653
Gujarat,Bharuch,1147,1194,1006,1267,1205,1275,1311,1327,1335,1240,1382,1240,1288,1218,1171,1274,1361,1304,1171,1399,1252,1344,1367,1275,1459
Gujarat,Gandhinagar,1308,1311,1047,1433,1401,1552,1487,1529,1566,1397,1582,1280,1447,1578,1095,1426,1401,1576,1304,1513,1534,1596,1617,1398,1731
Gujarat,Jamnagar,1371,1592,1486,1451,1626,1326,1479,1701,1566,1542,1693,1618,1639,1873,1502,1608,1504,1714,1421,1689,1597,1651,1891,1606,1604
Gujarat,Rajkot,1128,1481,1185,1477,1418,1577,1543,1553,1585,1534,1656,1482,1530,1627,1211,1641,1527,1561,1458,1517,1586,1490,1596,1399,1660
Gujarat,Surat,1204,1372,1191,1520,1496,1609,1486,1481,1572,1434,1537,1424,1519,1561,1253,1634,1516,1504,1438,1561,1577,1630,1808,1527,1743
Jammu & Kashmir,Jammu,1423,1340,1165,1288,1285,1490,1346,1144,1388,1268,1376,1545,1485,1494,1319,1717,1672,1660,1279,1816,1539,1780,1925,1594,1874
Jharkhand,Jamshedpur,1280,1162,1274,1209,1243,1161,1279,1312,1466,1173,1351,1160,1115,1301,1157,1155,1091,1182,1308,1231,1232,1243,1238,1125,1119
Jharkhand,Ranchi,1442,1293,1173,1318,1431,1431,1270,1416,1462,1292,1546,1347,1351,1213,1132,1301,1356,1509,1705,1360,1403,1606,1533,1273,1514
Karnataka,Bengaluru,2564,2576,2511,2429,2437,2917,2705,2652,2876,2684,3031,2700,2895,2869,2554,2674,2528,3067,2781,3037,2904,3016,3234,2790,3139
Karnataka,Hubli,1184,1262,1211,1446,1172,1383,1352,1302,1451,1274,1540,1255,1248,1366,1099,1308,1229,1328,1160,1438,1273,1297,1551,1328,1511
Karnataka,Mangaluru,866,855,1009,927,960,1052,1060,994,943,963,1068,1034,1042,1024,963,1019,1030,1031,1007,1112,962,977,1134,968,1099
