State/UT,City,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25
Andhra Pradesh,Nellore,12.80%,-4.70%,-1.70%,-1.00%,5.00%,-8.50%,-0.90%,-13.00%,-9.60%,-9.60%,2.30%,1.00%,3.60%
Andhra Pradesh,Tirupati,12.40%,12.90%,-0.10%,8.60%,-4.90%,5.30%,-2.00%,-,5.70%,5.50%,-,-,0.50%
Andhra Pradesh,Vijayawada,2.10%,22.50%,-2.70%,7.40%,1.40%,3.70%,1.60%,3.40%,4.00%,6.90%,3.70%,-10.00%,11.80%
Andhra Pradesh,Visakhapatnam (Vizag),24.30%,6.60%,-7.20%,16.00%,8.50%,7.90%,3.20%,13.80%,4.00%,12.90%,11.10%,0.10%,8.60%
Assam,Guwahati,5.70%,0.40%,-3.70%,-6.90%,-13.20%,4.00%,-14.00%,2.40%,-6.40%,6.20%,2.30%,7.20%,12.00%
Bihar,Patna,9.70%,17.90%,-5.40%,-2.50%,7.30%,11.10%,-4.00%,12.10%,2.20%,6.10%,4.50%,-1.80%,18.10%
Chandigarh (UT),Chandigarh,-11.60%,0.60%,-6.10%,-2.30%,-5.00%,-1.90%,-9.50%,5.30%,-5.80%,-1.30%,-4.80%,5.10%,3.90%
Chhattisgarh,Raipur,17.00%,7.30%,15.90%,3.20%,6.80%,14.80%,3.40%,18.60%,4.20%,21.60%,8.00%,15.50%,26.00%
Dadra & Nagar Haveli (UT),DNH & Daman & Diu,7.70%,0.90%,0.40%,0.70%,13.40%,13.70%,2.30%,17.00%,0.70%,18.00%,27.00%,17.80%,22.20%
Delhi (NCR),Delhi/NCR,5.90%,8.00%,2.30%,7.60%,5.70%,2.70%,-5.80%,6.90%,-1.00%,10.60%,5.60%,2.80%,9.30%
Gujarat,Ahmedabad,1.20%,13.10%,6.60%,7.40%,6.50%,4.00%,-3.70%,5.30%,-1.20%,7.20%,1.60%,4.90%,8.70%
