Month-year,State / UT,A & N Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli and Daman & Diu,Delhi,Goa,Gujarat,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Total
May-24,Pax Intl,0,16711,0,4324,965,15908,0,0,1684119,39113,203947,0,6813,0,527635,1037727,0,0,4060,1335473,0,0,0,0,10218,0,81125,43411,0,691061,406722,0,109125,0,222935,6441392
May-24,Pax Dom,133306,427582,15376,627955,361777,417912,213231,8768,4859862,947181,1290633,28016,624708,231265,3276250,809219,126684,11108,482243,4679828,111586,12052,41297,26470,391167,424,201302,602619,4932,1825542,1985523,110157,938573,169263,1908639,27902450
May-24,Pax Total,133306,444293,15376,632279,362742,433820,213231,8768,6543981,986294,1494580,28016,631521,231265,3803885,1846946,126684,11108,486303,6015301,111586,12052,41297,26470,401385,424,282427,646030,4932,2516603,2392245,110157,1047698,169263,2131574,34343842
Jun-24,Pax Intl,44,14360,0,4599,0,18388,0,0,1758498,30818,192991,0,3855,0,474244,941602,0,0,3423,1289234,0,0,0,0,12173,0,92504,42435,0,647423,376790,0,104797,0,217519,6225697
Jun-24,Pax Dom,109098,430900,13978,607796,359451,319793,211616,7624,4731828,903404,1173469,26500,609606,231113,3094754,736187,130309,5267,470999,4349926,117333,11362,43709,25182,395283,451,185717,598204,1656,1705559,1847131,116039,970812,168962,1871135,26582153
Jun-24,Pax Total,109142,445260,13978,612395,359451,338181,211616,7624,6490326,934222,1366460,26500,613461,231113,3568998,1677789,130309,5267,474422,5639160,117333,11362,43709,25182,407456,451,278221,640639,1656,2352982,2223921,116039,1075609,168962,2088654,32807850
Jul-24,Pax Intl,0,13141,0,4957,947,18022,0,0,1719616,28399,178679,0,2930,0,490367,1011409,0,0,3664,1309392,0,0,0,0,10778,0,88493,46436,0,654085,402007,0,101781,0,206432,6291535
Jul-24,Pax Dom,79256,429560,14488,645803,351771,296133,211751,3090,4664147,804273,1167159,18286,540686,231722,3060412,723809,126469,4456,476878,4322288,117332,11087,44755,29285,372377,531,178764,624471,0,1724931,1865566,118120,942326,145396,1826530,26173908
Jul-24,Pax Total,79256,442701,14488,650760,352718,314155,211751,3090,6383763,832672,1345838,18286,543616,231722,3550779,1735218,126469,4456,480542,5631680,117332,11087,44755,29285,383155,531,267257,670907,0,2379016,2267573,118120,1044107,145396,2032962,32465443
Aug-24,Pax Intl,0,12133,0,6194,0,17868,0,0,1726541,28885,175478,0,0,0,507684,1007088,0,0,3692,1262148,2,0,0,0,9700,0,89359,38677,0,640978,384943,0,101037,0,181092,6193499
Aug-24,Pax Dom,85840,470678,14781,561379,328037,291424,217035,7559,4665894,874032,1213540,17308,439204,228778,3161460,769478,126833,5245,496405,4437470,112553,10367,37036,22130,403351,551,180705,635369,0,1780215,1946023,110208,945342,143733,1756056,26496019
Aug-24,Pax Total,85840,482811,14781,567573,328037,309292,217035,7559,6392435,902917,1389018,17308,439204,228778,3669144,1776566,126833,5245,500097,5699618,112555,10367,37036,22130,413051,551,270064,674046,0,2421193,2330966,110208,1046379,143733,1937148,32689518
Sep-24,Pax Intl,0,10020,0,2935,0,18504,0,0,1686367,28665,171692,0,0,0,493046,964567,0,0,3977,1199036,0,0,0,0,10161,0,0,0,0,0,0,0,0,0,0,4588970
Sep-24,Pax Dom,102612,433492,15852,517288,339714,281633,210556,7327,4546421,900607,1199744,20131,418676,210095,3153221,806357,118726,11836,476489,4445357,105592,8954,36339,25121,389272,0,0,0,0,0,0,0,0,0,0,18781412
Sep-24,Pax Total,102612,443512,15852,520223,339714,300137,210556,7327,6232788,929272,1371436,20131,418676,210095,3646267,1770924,118726,11836,480466,5644393,105592,8954,36339,25121,399433,0,0,0,0,0,0,0,0,0,0,23370382
Oct-24,Pax Intl,0,11791,0,2620,4941,16100,0,0,1755742,36613,191411,0,0,0,546797,895022,0,0,4260,1274704,0,0,0,0,10730,0,95444,37229,0,601156,399264,0,108716,0,206043,6198583
