Month/Year,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025
Age Brackets,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: Less than 18,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 18-21,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 22-25,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 26-28,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: 29-35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Age Bucket: More than 35,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
TAMIL NADU,2580,1822,1488,1337,834,731,348,670,657,817,1032,1224,2366,1880,1953,1772,20189,37047,42769,40527,28808,23898,13219,20904,20992,23555,32076,32834,28363,41515,53654,51460,17374,25935,33229,33373,25374,22101,15019,21204,13738,24369,34973,35450,29149,33014,51082,55773,8375,10415,14782,13992,9423,8913,6603,10091,5361,13611,17845,18294,15277,15316,25795,29347,14284,13987,25834,24296,17001,14934,9758,15928,10556,25523,28878,30080,25628,26103,40981,49038,15267,9056,21726,25491,17549,14570,4644,16701,13187,25973,31551,37187,26881,32727,41939,54445,78069,98262,139828,139016,98989,85147,49591,85498,64491,113848,146355,155069,127664,150555,215404,241835
MAHARASHTRA,1195,1355,1021,866,696,641,158,585,825,705,652,1121,1310,1472,1646,946,47304,64447,65569,67696,54394,57762,25345,40102,54956,61733,54691,60714,59673,73683,91200,83642,55272,55427,69061,71954,60602,67930,36191,49106,61643,83180,73323,73082,69783,84576,97231,107687,29251,25874,31563,31027,29741,32118,17285,25063,30965,50495,40276,40951,40569,40241,50988,58633,47551,32402,42787,43281,42748,44657,28341,41367,47092,76698,63082,64071,68924,60470,80475,94296,49457,17744,29800,34516,36743,32789,26262,37090,41184,65822,55834,55033,70251,50476,70272,85639,230030,197249,239801,249340,224924,235897,133582,193313,236665,338633,287858,294972,310510,310918,391812,430843
GUJARAT,956,1048,717,651,512,390,109,404,605,568,488,698,931,950,1079,738,25653,34345,27773,25194,19631,22107,4059,20814,29885,26713,26369,30193,31591,37338,45648,39890,21717,26579,24089,23544,18590,20860,2300,16077,25858,25959,25536,29007,27020,29671,43004,43192,11869,13986,12206,12475,9815,11559,483,9436,15508,14882,15314,17847,15813,16241,24367,24993,18884,20040,16958,19527,15658,17916,-103,13937,24115,24306,24128,27835,25996,24625,37562,40506,19929,14397,12527,18583,13434,14897,-1336,8714,22583,24651,23526,25915,31455,22103,35918,39633,99008,110395,94270,99974,77640,87729,5512,69382,118554,117079,115361,131495,132806,130928,187578,188952
HARYANA,990,1337,778,624,580,307,54,711,890,555,593,1207,1084,1438,1576,942,25162,34666,26136,27895,25402,25511,193,20308,30997,26007,24936,34434,26994,35160,44623,39986,21510,28046,19163,22913,22519,25130,4856,13518,28493,25091,24963,32082,23557,29567,37734,41424,11197,14747,9293,11266,12581,13696,2986,8647,15930,15078,15164,18425,13662,16435,20691,24271,17034,18912,12094,14769,18384,17825,6471,13535,22536,21813,22794,25971,21801,26056,28466,38137,16734,14135,7556,10621,17387,13748,7595,10843,16855,18668,20018,21137,19870,22235,24381,32832,92627,111843,75020,88088,96853,96217,22155,67562,115701,107212,108468,133256,106968,130891,157471,177592
KARNATAKA,693,648,518,433,263,326,215,387,327,434,379,540,776,629,645,533,22890,33768,37235,36526,29271,35443,19653,19883,23962,26354,28164,34555,31103,37183,48502,51856,27748,30805,36057,40826,30624,38226,27236,21300,21866,21532,33736,44665,40678,37969,55212,65096,11262,10415,14137,14395,10442,14056,10414,7172,7457,5473,14894,22456,21285,16520,27583,31787,15661,10510,18556,19142,13021,15839,13928,11700,9140,12412,21099,30571,31646,22770,42378,49204,10056,6272,11536,12972,9807,9015,9301,12737,1967,18470,18154,22195,24423,17876,37715,42784,88310,92418,118039,124294,93428,112905,80747,73179,64719,84675,116426,154982,149911,132947,212035,241260
TELANGANA,410,405,399,391,224,244,184,184,225,248,195,268,376,392,465,377,12320,18834,18510,21975,16179,13569,9428,11957,13771,14694,16135,16042,14683,16625,24179,24993,15206,19361,20631,24396,17847,15230,13655,16119,15985,18306,19270,20220,18998,17686,28966,30822,8343,10854,10346,11998,9748,7234,6788,7162,9000,11059,10431,11379,11085,10985,17194,18209,13094,16787,16041,18317,17445,10975,11246,10367,14099,18475,17633,18633,18637,18458,30467,31258,11214,13780,13392,16245,13132,9082,9898,10457,9697,19371,17348,16552,19701,17686,31344,31341,60587,80021,79319,93322,74575,56334,51199,56246,62777,82153,81012,83094,83480,81832,132615,137000
UTTAR PRADESH,463,578,399,310,286,221,36,365,367,302,275,461,471,612,632,304,15343,19727,14274,17818,12909,15038,828,10324,16528,18149,16854,22124,19504,24048,25058,22469,14508,17503,11965,16700,10706,15007,4854,11093,16485,19285,17418,20436,19194,21895,23767,24529,9985,10477,6913,9699,6402,9198,3214,8209,9655,12633,10688,12797,12565,13267,15223,15741,16476,14213,8488,13569,9376,13332,6243,14332,14893,19144,16517,19725,19788,20421,23479,24348,15910,11591,3522,10368,7950,11610,4611,13244,12580,18320,16113,18112,18914,17405,19448,21657,72685,74089,45561,68464,47629,64406,19786,57567,70508,87833,77865,93655,90436,97648,107607,109048
RAJASTHAN,443,529,331,267,254,170,12,131,342,231,261,385,508,585,536,369,8735,12295,9369,9821,8380,7884,589,4600,9507,10534,9367,11038,10468,14128,14492,13911,8058,10092,8058,9573,7516,7312,2015,3229,8745,10890,9513,10919,10109,14414,13749,15427,4540,6106,4392,5474,4527,4479,1335,1900,5329,6374,5954,6558,6153,9599,8661,10023,7189,9182,5978,8213,7600,6640,2684,2946,8033,10705,10262,10757,10579,16505,13912,17426,8605,8725,3310,6502,7274,5506,3395,2131,6686,10142,10158,9959,11821,13594,12557,16277,37570,46929,31438,39850,35551,31991,10030,14937,38642,48876,45515,49616,49638,68825,63907,73433
UTTARAKHAND,399,270,204,118,113,68,-16,146,154,156,184,421,287,409,303,223,6402,5787,4685,4455,3862,3116,-2179,23,3597,4311,4922,8640,5007,6263,6212,6291,4361,4153,3528,3192,3000,3094,-1843,-4372,1949,3659,4370,6686,3518,4498,4944,5945,2703,2724,2064,1993,1817,1971,-1395,-2191,1342,2272,2568,4150,2422,2830,3041,3755,4771,3548,2754,3015,2681,2732,-2545,-1084,2170,3398,3708,5869,4361,4651,4531,5925,5785,2542,1393,1928,2074,1623,-2054,-100,2165,2777,3152,4734,3794,4342,3585,5356,24421,19024,14628,14701,13547,12604,-10032,-7578,11377,16573,18904,30500,19389,22993,22616,27495
DELHI,267,341,246,176,153,163,71,175,219,161,133,304,306,284,339,250,15606,15610,18841,20572,18765,23408,8014,12146,20810,17733,18459,24327,22216,25057,28831,30292,16496,14480,21071,22027,19655,21055,11784,14395,22550,21038,22631,26259,25427,24331,30638,35234,9911,8669,11559,11592,10049,9809,7174,8749,13447,12944,13735,15281,16848,13487,17291,20863,17395,12464,16490,17849,14649,14327,12206,12116,18937,21082,21396,23164,28159,20739,27699,33571,19550,9993,11683,14195,11065,10421,10491,12043,15577,20888,20172,21414,28354,18976,23795,30418,79225,61557,79890,86411,74336,79183,49740,59624,91540,93846,96526,110749,121310,102874,128593,150628
