"REGION / STATE /
UNION TERRITORY",01-03-2024,01-06-2024,01-09-2024,01-12-2024,01-03-2025,01-06-2025
CENTRAL REGION,12.93%,11.83%,10.26%,9.72%,9.67%,10.31%
CHHATTISGARH,12.69%,11.76%,9.07%,10.07%,9.92%,9.83%
MADHYA PRADESH,13.11%,9.91%,8.72%,8.32%,9.24%,10.10%
UTTARAKHAND,11.22%,10.96%,9.31%,9.46%,10.48%,10.47%
UTTAR PRADESH,13.13%,12.67%,11.13%,10.22%,9.68%,10.44%
EASTERN REGION,9.85%,9.05%,9.11%,9.10%,8.69%,9.32%
ANDAMAN & NICOBAR ISLANDS,8.76%,9.71%,10.57%,10.17%,10.37%,12.28%
BIHAR,9.64%,8.98%,9.24%,10.26%,8.69%,9.69%
JHARKHAND,10.78%,10.30%,9.21%,9.76%,9.06%,9.66%
ODISHA,13.01%,12.57%,12.48%,11.79%,11.80%,11.48%
SIKKIM,8.81%,7.79%,6.79%,14.63%,10.46%,10.28%
WEST BENGAL,8.33%,7.23%,7.58%,7.17%,7.17%,8.05%
NORTH EASTERN REGION,7.54%,7.01%,6.20%,5.97%,8.31%,9.04%
ARUNACHAL PRADESH,9.45%,10.30%,4.88%,3.61%,13.67%,18.34%
ASSAM,6.72%,5.57%,5.63%,4.60%,6.41%,7.32%
MANIPUR,5.57%,2.09%,1.65%,4.20%,6.72%,11.84%
MEGHALAYA,10.18%,12.16%,9.38%,10.24%,10.67%,6.14%
MIZORAM,7.39%,5.33%,6.75%,12.97%,11.55%,17.63%
NAGALAND,10.03%,9.18%,6.33%,6.51%,9.59%,10.17%
TRIPURA,8.66%,11.68%,10.44%,11.91%,13.29%,11.01%
NORTHERN REGION,11.71%,10.99%,10.07%,8.97%,10.95%,9.08%
CHANDIGARH,14.18%,12.02%,13.81%,11.09%,10.96%,12.32%
HARYANA,12.37%,15.76%,13.01%,12.13%,12.86%,11.04%
HIMACHAL PRADESH,10.23%,9.69%,8.87%,9.17%,8.07%,7.33%
JAMMU & KASHMIR,8.02%,7.45%,10.38%,9.98%,9.12%,9.08%
LADAKH,7.15%,9.05%,9.29%,13.79%,11.62%,13.17%
NCT OF DELHI,11.86%,9.56%,8.55%,7.06%,11.61%,7.73%
PUNJAB,10.25%,9.85%,9.21%,8.19%,8.24%,8.71%
RAJASTHAN,12.93%,11.75%,11.46%,10.86%,10.42%,10.72%
SOUTHERN REGION,12.53%,10.92%,11.15%,10.10%,10.71%,11.38%
ANDHRA PRADESH,13.61%,9.60%,8.11%,6.86%,10.10%,10.76%
KARNATAKA,13.66%,11.76%,13.02%,10.83%,12.54%,11.95%
KERALA,10.98%,11.65%,12.20%,10.62%,11.40%,11.25%
LAKSHADWEEP,8.43%,9.08%,6.39%,11.74%,0.57%,-0.96%
PUDUCHERRY,13.89%,10.78%,12.35%,10.34%,8.63%,12.04%
TAMIL NADU,11.11%,9.83%,9.39%,9.76%,8.76%,9.83%
TELANGANA,13.60%,11.09%,10.93%,10.46%,9.94%,13.35%
WESTERN REGION,18.30%,15.58%,14.76%,14.49%,10.99%,12.93%
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,10.33%,5.38%,7.70%,10.75%,8.37%,7.93%
GOA,9.78%,7.65%,8.31%,7.49%,7.71%,9.31%
GUJARAT,16.45%,11.73%,10.03%,7.44%,6.42%,8.40%
MAHARASHTRA,19.03%,16.82%,16.16%,16.54%,12.23%,14.16%
ALL-INDIA,13.59%,12.06%,11.50%,10.86%,10.43%,10.93%
