State,01-01-2024,01-02-2024,01-03-2024,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025
ANDHRA PRADESH,70557,71490,86828,72915,74186,68876,75208,62655,59656,107391,105767,56265,64771,72514,65422,74817,66151,66835,65704
ARUNACHAL PRADESH,2487,2666,2764,3020,4738,3278,3067,2937,2727,3043,3126,2941,2921,2638,2851,3309,3303,3492,4165
ASSAM,59985,55902,61168,57839,56179,46377,44281,48181,49066,65729,44683,40232,60205,46909,54743,47179,43354,43222,43519
BIHAR,93613,104229,125228,144136,116678,115279,109940,88477,83639,116439,217625,79841,92604,102885,114987,134399,151876,118168,95589
CHANDIGARH,3715,3300,3414,3517,3752,3454,4272,3935,3037,6922,3553,3526,4227,3161,4216,3885,3486,3886,4279
CHHATTISGARH,57506,53635,59564,58541,56136,54200,55679,47432,40334,87493,101097,42344,68426,57953,59757,55760,51116,52525,49414
DELHI,67214,52899,54759,57759,54055,49182,58611,53909,45761,87984,83390,45573,75050,50174,59676,58856,69447,58370,67346
GOA,7838,6913,7142,7272,5842,4919,5184,7084,8061,10495,7173,6392,8084,6199,7790,6138,4925,5275,5477
GUJARAT,156611,138546,139267,142016,136630,125189,153131,139693,126622,294619,196522,150228,164928,126617,138376,140169,134071,141080,152361
HARYANA,85165,75350,78863,73131,70393,74127,66986,82312,80129,101124,124243,84655,99786,72831,78798,82244,80221,81042,79578
HIMACHAL PRADESH,12272,10952,10246,10960,12493,9682,11687,12370,9948,12150,19303,15671,14260,10929,11064,12106,12519,12329,11562
JAMMU AND KASHMIR,12531,11927,14421,16084,14498,13727,19241,17285,12759,21913,14865,10150,13168,11732,14574,16452,14477,14577,17991
JHARKHAND,40039,44203,47688,56002,46328,47368,48488,37909,35318,63175,74047,38627,47102,43554,52122,61536,58302,52753,44806
KARNATAKA,168035,156483,172840,145404,155991,151500,138855,165640,136597,201634,182495,112616,171921,131517,158565,147391,150218,143109,134828
KERALA,68202,59188,63871,59249,62802,58600,63142,67762,87435,72140,61974,54835,74355,56423,66849,65132,69381,65833,66510
LADAKH,281,115,227,465,750,785,680,570,384,432,422,317,246,139,210,294,567,594,501
LAKSHADWEEP,35,54,85,17,58,17,19,10,39,15,11,13,40,103,99,91,69,62,40
MADHYA PRADESH,134241,126782,131947,153859,124730,111108,118716,103464,90519,189610,284003,98536,138232,116804,138799,145272,136230,106456,101990
MAHARASHTRA,255063,214253,220849,246812,225048,192680,206119,202330,197530,366021,332833,228126,289741,198196,267004,277173,229841,218518,232001
MANIPUR,2100,2126,1835,2264,2305,2603,3205,2998,1818,2797,1779,2203,2144,2757,2182,2934,1279,3062,2648
MEGHALAYA,3557,3711,4336,3392,3934,3188,3723,3417,3379,3916,3592,2230,3818,2972,3496,3462,3427,3280,3785
MIZORAM,2685,2980,2708,2561,2673,2277,2583,2125,2007,2286,2746,2388,2403,2191,2569,2876,2539,2333,2516
NAGALAND,2782,2937,2636,2893,2873,1674,2433,1944,1932,2038,2021,1607,2358,2373,2181,2571,2301,2027,2536
ODISHA,68247,72079,85201,71610,65974,61206,61945,50344,47250,108282,68000,50966,69874,68613,80585,71050,68701,68067,60190
PUDUCHERRY,6470,5842,5508,5351,5882,5350,6209,5499,5377,5476,4782,3808,7685,5414,5626,6071,5724,5937,6351
PUNJAB,54748,55968,59471,54435,55154,45486,57037,57676,47170,65837,77607,75030,63929,57274,61341,54291,57397,53890,62153
RAJASTHAN,124988,121236,130308,117027,125344,113110,128368,125063,95166,194489,288478,89855,127760,102985,116952,125940,118902,108929,112571
SIKKIM,982,856,906,874,1213,1060,928,964,992,1108,915,887,734,883,875,900,965,813,984
TAMIL NADU,196103,184746,164632,159593,155052,155980,179207,164009,158255,154739,169034,112198,209853,161634,157290,167033,146512,168983,180295
TRIPURA,4933,5120,6328,4751,5252,4832,5376,4065,4891,7434,5945,4728,4867,4764,5078,4304,4010,4608,4325
UT OF DNH AND DD,2276,2276,1698,2037,1787,1521,2014,1899,1827,2657,2285,1970,2647,1895,1855,2483,1756,1526,2037
UTTAR PRADESH,282402,293406,297064,371834,334311,273200,282841,243184,193154,367186,582557,236724,312823,290604,304264,405537,408164,288638,245516
UTTARAKHAND,19180,21716,19366,21290,25759,20696,22714,19987,18833,28780,43276,20198,22711,19136,19256,24217,24018,21111,21422
WEST BENGAL,88873,89288,84707,98880,100380,92656,114409,86824,88853,113874,126959,99275,97175,87627,95004,110465,109259,101318,90947
