 City ,Forecast-  01-03-2025,Forecast-  01-06-2025,Actual - 01-03-2025,Actual - 01-06-2025
 Mumbai ,"31,162.00","31,343.00","31,788.00","31,895.00"
 Pune ,"13,023.00","13,305.00","13,248.00","13,430.00"
 Hyderabad ,"9,364.00","9,532.00","9,346.00","9,378.00"
 Nagpur ,"6,461.00","6,432.00","7,317.00","7,157.00"
 Bengaluru ,"11,449.00","11,583.00","11,733.00","11,806.00"
 Chennai ,"10,676.00","10,794.00","10,796.00","11,028.00"
 Kolkata ,"13,403.00","13,320.00","13,635.00","14,211.00"
 Ahmedabad ,"8,173.00","8,439.00","8,233.00","8,558.00"
 Nashik ,"5,459.00","5,513.00","5,514.00","5,559.00"
 Indore ,"5,943.00","6,101.00","5,733.00","5,846.00"
 Chandigarh (Tricity) ,"6,865.00","7,306.00","7,215.00","7,813.00"
 Jaipur ,"5,554.00","5,669.00","5,475.00","5,524.00"
 Surat ,"8,640.00","8,519.00","8,751.00","8,903.00"
 Vadodara ,"6,033.00","6,218.00","6,005.00","6,138.00"
 Kochi ,"9,171.00","9,001.00","9,224.00","8,219.00"
 Kanpur ,"6,245.00","6,364.00","6,305.00","6,456.00"
 Lucknow ,"6,710.00","6,817.00","6,889.00","7,215.00"
 Coimbatore ,"7,959.00","8,012.00","8,355.00","8,301.00"
 Raipur ,"5,004.00","5,028.00","4,997.00","5,038.00"
 Patna ,"5,976.00","6,053.00","5,777.00","6,143.00"
 Bhopal ,"4,996.00","4,925.00","5,095.00","5,048.00"
 Bhubaneswar ,"7,524.00","7,786.00","7,706.00","8,063.00"
 Rajkot ,"6,644.00","6,690.00","6,733.00","6,825.00"
 Vizag ,"6,860.00","6,923.00","6,952.00","7,040.00"
 Dehradun ,"6,352.00","6,427.00","6,402.00","6,322.00"
 Ludhiana ,"4,545.00","4,624.00","4,641.00","4,964.00"
 Guwahati ,"6,183.00","6,137.00","6,179.00","6,025.00"
 Vijayawada ,"6,103.00","6,154.00","6,175.00","6,251.00"
 Meerut ,"4,678.00","4,650.00","4,861.00","4,844.00"
 Faridabad ,"7,868.00","8,227.00","7,692.00","8,029.00"
 Gurugram ,"16,156.00","16,795.00","16,520.00","17,249.00"
 Gandhinagar ,"9,588.00","9,717.00","9,170.00","9,259.00"
 Ghaziabad ,"8,348.00","8,600.00","8,317.00","8,565.00"
 Greater Noida ,"10,191.00","10,980.00","10,182.00","10,657.00"
 Noida ,"11,541.00","11,813.00","12,049.00","12,581.00"
 Delhi ,"17,597.00","17,759.00","17,603.00","17,835.00"
 Kalyan Dombivali ,"10,534.00","10,728.00","10,534.00","10,735.00"
 Mira Bhayander ,"12,517.00","12,316.00","13,108.00","11,721.00"
 Navi Mumbai ,"21,135.00","20,744.00","20,000.00","20,223.00"
 Panvel ,"12,241.00","12,446.00","12,206.00","11,703.00"
 Thane ,"20,709.00","20,986.00","20,999.00","21,364.00"
 Vasai Virar ,"6,829.00","6,807.00","7,520.00","8,251.00"
 Howrah ,"4,818.00","4,541.00","4,920.00","5,328.00"
 New Town Kolkata ,"9,026.00","8,970.00","8,872.00","8,940.00"
 Chakan ,"3,538.00","3,874.00","3,883.00","4,121.00"
 Pimpri Chinchwad ,"6,729.00","6,687.00","7,285.00","7,314.00"
 Ranchi ,"5,020.00","5,069.00","5,078.00","5,070.00"
 Thiruvananthapuram ,"6,585.00","6,625.00","6,985.00","6,974.00"
 Bhiwadi ,"2,914.00","2,953.00","2,972.00","3,110.00"
 Bidhan Nagar (Excluding Rajarhat) ,"7,621.00","7,722.00","7,545.00","7,689.00"
