State,01-01-2024,01-02-2024,01-03-2024,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025
ANDAMAN & NICOBAR ISLAND,,,,,,,,,,,,,0,0,1,0,0,1,0
ANDHRA PRADESH,1186,1223,1321,994,1327,1353,1981,1548,1224,2160,2243,1526,1209,1556,1557,1480,1625,2001,2004
ARUNACHAL PRADESH,0,1,0,0,4,0,0,3,1,2,2,4,2,4,1,1,0,3,1
ASSAM,3,9,2,1,3,10,0,5,4,3,130,23,7,23,94,58,53,18,25
BIHAR,1535,1343,1489,1504,1844,1840,1952,1199,1531,1711,2249,1858,1566,1181,1501,1387,1825,2291,2280
CHANDIGARH,1,0,2,4,2,0,2,0,2,2,1,0,2,3,3,5,0,0,0
CHHATTISGARH,2791,2977,2520,2297,3031,4154,5034,3712,3132,2893,3629,3633,4458,3086,3544,2486,3005,4280,5637
DELHI,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,8,0,2
GOA,2,5,1,2,4,2,1,1,0,2,3,1,3,0,2,3,2,2,2
GUJARAT,15113,9446,4155,3129,3812,3683,4697,4268,3662,5058,10860,21161,10074,1629,1253,1380,1231,1302,8873
HARYANA,4025,2931,3901,3643,3489,3892,3580,3888,3354,2900,3974,3865,4072,3361,3744,3947,4065,4508,4018
HIMACHAL PRADESH,185,174,176,208,138,149,178,175,139,170,161,159,196,214,239,215,205,202,224
JAMMU AND KASHMIR,260,250,345,295,350,287,355,304,239,331,313,346,374,347,342,343,304,317,349
KARNATAKA,4887,4808,4278,3328,3793,4240,4085,3884,3368,4280,4713,5044,5301,4064,5000,3950,5092,4856,5114
KERALA,74,57,64,35,29,23,40,44,35,44,56,48,46,45,112,78,63,79,53
LADAKH,5,1,5,2,4,4,12,1,1,6,2,5,3,0,4,1,1,2,0
MADHYA PRADESH,11789,8814,9854,6491,9753,10118,11594,8069,7639,6771,10881,13615,12527,8274,9685,6404,8942,10057,10409
MAHARASHTRA,8138,8346,9441,6400,6780,6403,6568,5228,4814,6406,6921,9062,10700,7576,9032,8697,8220,7392,8830
MANIPUR,1,2,0,1,2,0,5,0,0,0,0,0,2,0,0,2,0,12,3
MEGHALAYA,1,0,0,1,1,2,1,4,1,2,1,0,1,0,0,1,1,1,9
MIZORAM,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
NAGALAND,1,3,6,0,0,4,1,1,0,0,0,1,0,1,1,0,0,0,0
ODISHA,1431,1435,1518,1116,1550,1836,2768,1875,981,1061,1486,1347,1397,1338,2135,1203,1994,2958,3609
PUDUCHERRY,5,3,2,11,7,7,3,7,4,1,0,0,4,13,2,21,11,4,9
PUNJAB,2069,2246,3276,2459,2654,2287,2865,2799,2415,2208,2148,2707,2930,2563,2653,2123,2779,3157,3489
RAJASTHAN,11786,8381,11416,5231,9982,10228,9938,7639,8728,9382,10642,11719,12406,7695,8763,7784,9653,12002,9653
TAMIL NADU,2215,3401,3742,2237,2192,1837,2258,2010,2277,2041,1934,1458,2336,2667,3382,2009,1738,1898,2036
TRIPURA,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
UT OF DNH AND DD,0,3,0,2,0,1,1,1,2,1,1,2,0,1,2,0,1,4,2
UTTAR PRADESH,14148,12896,13243,10605,11563,10977,12510,11135,12035,8425,9681,13323,15299,11896,11865,9988,12408,10772,11678
UTTARAKHAND,269,273,284,272,293,289,258,204,195,256,300,284,266,243,238,248,218,248,180
WEST BENGAL,1342,1473,1090,1187,1363,1405,2218,1911,1317,1086,1331,1618,1752,1804,1710,1436,1934,2089,2616
